# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

3b7f9a2f-d61c-311d-9498-9c2b43f3d719.combatlog.time, long, 0000000000000011
868ecedb-c61f-3f1a-9ac9-5095c0f9c4b6.combatlog.time, long, 0000000000000013
975fc3a9-3d85-3bf2-92c5-dd2ce0271b56.combatlog.time, long, 0000000000000011
9e898537-e1f5-3663-8388-28d4cd4fc106.combatlog.time, long, 0000000000000001
combatlog::2, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049AC95095C0F9C4B60B6D6F73745369674269747304868ECEDBC61F3F1A
combatlog::3, offlineplayer, 810475756964800455554944820C6C65617374536967426974730492C5DD2CE0271B560B6D6F73745369674269747304975FC3A93D853BF2
combatlog::4, offlineplayer, 810475756964800455554944820C6C656173745369674269747304838828D4CD4FC1060B6D6F737453696742697473049E898537E1F53663
combatlog::5, offlineplayer, 810475756964800455554944820C6C65617374536967426974730494989C2B43F3D7190B6D6F737453696742697473043B7F9A2FD61C311D
rtplocation, block, 8405776F726C6480FF0000000181046E616D65208005776F726C64017803FFFFFE8A0179030000003F017A03FFFFFDF6
x, double, C077554B83BA5C5E
z, double, C0804EE7750B4708

