# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

1e4f5cf1-d9d5-3d4b-9db6-8454b4ea92db.combatlog.time, long, 0000000000000015
94be641e-9a68-3472-b8df-78d8c2c3d694.combatlog.time, long, 0000000000000015
96d01320-e90e-35a1-af76-28b1c0f83068.combatlog.time, long, 0000000000000013
ba90c63b-19be-3022-998b-f1ccac15a0bf.combatlog.time, long, 0000000000000013
combatlog::1, offlineplayer, 810475756964800455554944820C6C656173745369674269747304998BF1CCAC15A0BF0B6D6F73745369674269747304BA90C63B19BE3022
combatlog::2, offlineplayer, 810475756964800455554944820C6C656173745369674269747304AF7628B1C0F830680B6D6F7374536967426974730496D01320E90E35A1
combatlog::3, offlineplayer, 810475756964800455554944820C6C656173745369674269747304B8DF78D8C2C3D6940B6D6F7374536967426974730494BE641E9A683472
combatlog::4, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049DB68454B4EA92DB0B6D6F737453696742697473041E4F5CF1D9D53D4B
rtplocation, block, 8405776F726C6480FF0000000181046E616D65208005776F726C64017803FFFFFE7D0179030000003E017A03FFFFFF01
x, double, C0782E8334136144
z, double, C06FD5D20E7EC41C

