# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

4faa3e39-3df2-3ccd-80d0-c8e880a651db.combatlog.time, long, 0000000000000015
6f6f4320-25bb-3829-9ad4-f5fd10572de6.combatlog.time, long, 0000000000000015
8ee8a513-a04e-3820-a992-f0f340d24752.combatlog.time, long, 0000000000000015
96d01320-e90e-35a1-af76-28b1c0f83068.combatlog.time, long, 0000000000000015
combatlog::1, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049AD4F5FD10572DE60B6D6F737453696742697473046F6F432025BB3829
combatlog::2, offlineplayer, 810475756964800455554944820C6C656173745369674269747304AF7628B1C0F830680B6D6F7374536967426974730496D01320E90E35A1
combatlog::3, offlineplayer, 810475756964800455554944820C6C656173745369674269747304A992F0F340D247520B6D6F737453696742697473048EE8A513A04E3820
combatlog::4, offlineplayer, 810475756964800455554944820C6C65617374536967426974730480D0C8E880A651DB0B6D6F737453696742697473044FAA3E393DF23CCD
rtplocation, block, 8405776F726C6480FF0000000181046E616D65208005776F726C640178030000015D01790300000053017A03FFFFFD9E
x, double, 4075DF493700E82C
z, double, C0830A037B7DCCA8

