2025-01-07 11:14:58 [INFO]: Loading Overrides...
2025-01-07 11:14:58 [INFO]: Loading World Types...
2025-01-07 11:14:58 [INFO]: - World Type for 'world' set to 'NORMAL'
2025-01-07 11:14:58 [INFO]: - World Type for 'world_nether' set to 'NETHER'
2025-01-07 11:14:58 [INFO]: - World Type for 'world_the_end' set to 'NORMAL'
2025-01-07 11:14:58 [INFO]: Loading Defaults...
2025-01-07 11:14:58 [INFO]: Loading Custom Worlds...
2025-01-07 11:14:58 [INFO]: [WARN] - Custom World 'custom_world_1' was not registered because world does NOT exist
2025-01-07 11:14:58 [INFO]: [WARN] - Custom World 'other_custom_world' was not registered because world does NOT exist
2025-01-07 11:14:58 [SEVERE]: The particle 'EXPLOSION_NORMAL' created a fatal error when loading particles! Your MC version isn't supported!
2025-01-07 11:15:01 [INFO]: Database COOLDOWN:spawn configured and loaded!
2025-01-07 11:15:01 [INFO]: Database COOLDOWN:world configured and loaded!
2025-01-07 11:15:01 [INFO]: Database COOLDOWN:desert configured and loaded!
2025-01-07 11:15:01 [INFO]: Database PLAYERS:Players configured and loaded!
2025-01-07 11:15:01 [INFO]: Database QUEUE:Queue configured and loaded!
2025-01-07 11:15:01 [INFO]: Database CHUNK_DATA:ChunkData configured and loaded!
2025-01-07 11:15:04 [INFO]: Attempting to queue up some more safe locations...
2025-01-07 11:15:05 [INFO]: Queueing paused, max queue limit reached!
2025-01-07 11:16:02 [WARNING]: Seems like the world `spawn` does not have a `WorldType` declared. Please add/fix this in the config.yml file! This world will be treated as an overworld! If this world is a nether world, configure it to NETHER (example: `- spawn: NETHER`
2025-01-07 11:16:37 [INFO]: xoai executed: /betterrtp:rtp world desert
2025-01-07 11:16:37 [WARNING]: Seems like the world `desert` does not have a `WorldType` declared. Please add/fix this in the config.yml file! This world will be treated as an overworld! If this world is a nether world, configure it to NETHER (example: `- desert: NETHER`
2025-01-07 12:01:00 [INFO]: alexpro123 executed: /betterrtp:rtp world world
2025-01-07 12:01:02 [INFO]: MrRelux executed: /betterrtp:rtp world desert
2025-01-07 12:01:09 [INFO]: alexpro123 executed: /betterrtp:rtp world desert
2025-01-07 12:01:27 [INFO]: MrRelux executed: /betterrtp:rtp world world
2025-01-07 12:07:59 [INFO]: XbrotherX executed: /betterrtp:rtp world world
2025-01-07 12:08:24 [INFO]: TCSgsADDICTIVE executed: /betterrtp:rtp world world
2025-01-07 12:08:49 [INFO]: TCSgsADDICTIVE executed: /betterrtp:rtp world world
2025-01-07 12:08:57 [INFO]: Senpaisoider executed: /betterrtp:rtp world world
2025-01-07 12:08:58 [INFO]: TCSgsADDICTIVE executed: /betterrtp:rtp world world
2025-01-07 12:11:14 [INFO]: ZubairFF executed: /betterrtp:rtp world desert
2025-01-07 12:11:16 [INFO]: ZubairFF executed: /betterrtp:rtp world world
2025-01-07 12:15:59 [INFO]: XbrotherX executed: /betterrtp:rtp world desert
2025-01-07 16:27:16 [INFO]: bluegamerz90 executed: /betterrtp:rtp world world
2025-01-07 16:27:23 [INFO]: devilk_0 executed: /betterrtp:rtp world world
2025-01-07 16:27:26 [INFO]: bluegamerz90 executed: /betterrtp:rtp world world
2025-01-07 16:27:28 [INFO]: devilk_0 executed: /betterrtp:rtp world world
2025-01-07 16:27:37 [INFO]: devilk_0 executed: /betterrtp:rtp world world
2025-01-07 18:43:39 [INFO]: Shadow_Gaden executed: /betterrtp:rtp world world
2025-01-07 18:43:49 [INFO]: Shadow_Gaden executed: /betterrtp:rtp world world
2025-01-07 18:44:00 [INFO]: Shadow_Gaden executed: /betterrtp:rtp world desert
2025-01-07 19:47:59 [INFO]: AZK_GG executed: /betterrtp:rtp world world
2025-01-07 19:48:07 [INFO]: AZK_GG executed: /betterrtp:rtp world world
2025-01-07 19:48:30 [INFO]: AZK_GG executed: /betterrtp:rtp world desert
2025-01-07 19:48:32 [INFO]: AZK_GG executed: /betterrtp:rtp world desert
2025-01-07 20:40:03 [INFO]: ItsThunder00 executed: /betterrtp:rtp world desert
2025-01-07 20:40:18 [INFO]: ItsThunder00 executed: /betterrtp:rtp world world
2025-01-07 23:08:53 [INFO]: PrimeMOIZ executed: /betterrtp:rtp world world
