# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.5

16810316-e457-3639-9b42-dce775693b47.combatlog.time, long, 0000000000000011
256bc7ca-2eb9-3ac3-84b7-b872de2c4507.combatlog.time, long, 0000000000000015
7520263b-a20c-31c9-a36a-b4184389b579.combatlog.time, long, 0000000000000015
9e898537-e1f5-3663-8388-28d4cd4fc106.combatlog.time, long, 0000000000000011
combatlog::1, offlineplayer, 810475756964800455554944820C6C656173745369674269747304838828D4CD4FC1060B6D6F737453696742697473049E898537E1F53663
combatlog::2, offlineplayer, 810475756964800455554944820C6C6561737453696742697473049B42DCE775693B470B6D6F7374536967426974730416810316E4573639
combatlog::3, offlineplayer, 810475756964800455554944820C6C65617374536967426974730484B7B872DE2C45070B6D6F73745369674269747304256BC7CA2EB93AC3
combatlog::4, offlineplayer, 810475756964800455554944820C6C656173745369674269747304A36AB4184389B5790B6D6F737453696742697473047520263BA20C31C9
rtplocation, block, 8405776F726C6480FF0000000181046E616D65208005776F726C64017803FFFFFFAB0179030000003E017A03000001FD
x, double, C055312CBFC016E8
z, double, 407FD5ECDCE4B098

